iter	Passed	Remaining
346	17889	13043
347	17937	12989
348	17982	12932
349	18029	12877
350	18081	12827
351	18134	12776
352	18187	12725
353	18237	12673
354	18287	12620
355	18335	12567
356	18384	12513
357	18434	12460
358	18483	12408
359	18531	12354
360	18589	12307
361	18637	12253
362	18686	12200
363	18734	12146
364	18783	12093
365	18828	12038
366	18877	11985
367	18922	11929
368	18971	11876
369	19020	11823
370	19072	11772
371	19121	11719
372	19171	11667
373	19219	11614
374	19270	11562
375	19318	11508
376	19365	11454
377	19417	11403
378	19468	11352
379	19519	11300
380	19569	11248
381	19622	11197
382	19670	11145
383	19724	11094
384	19772	11041
385	19825	10991
386	19873	10938
387	19923	10885
388	19973	10833
389	20026	10783
390	20074	10730
391	20127	10679
392	20176	10627
393	20222	10573
394	20272	10520
395	20321	10468
396	20371	10416
397	20419	10363
398	20467	10310
399	20517	10258
400	20568	10207
401	20618	10155
402	20668	10103
403	20716	10050
404	20765	9998
405	20813	9945
406	20861	9892
407	20915	9842
408	20964	9790
409	21012	9737
410	21061	9685
411	21113	9634
412	21163	9582
413	21214	9531
414	21263	9479
415	21306	9423
416	21347	9368
417	21394	9315
418	21444	9263
419	21494	9211
420	21539	9158
421	21586	9105
422	21639	9054
423	21689	9003
424	21741	8952
425	21792	8901
426	21843	8849
427	21893	8798
428	21941	8746
429	21987	8692
430	22036	8640
431	22085	8588
432	22135	8537
433	22182	8484
434	22233	8433
435	22282	8381
436	22333	8330
437	22384	8279
438	22432	8226
439	22482	8175
440	22529	8122
441	22578	8070
442	22633	8021
443	22680	7968
444	22730	7917
445	22778	7865
446	22828	7813
447	22882	7763
448	22935	7713
449	22986	7662
450	23037	7611
451	23076	7556
452	23127	7504
453	23176	7453
454	23225	7401
455	23277	7350
456	23327	7299
457	23378	7248
458	23424	7195
459	23469	7142
460	23518	7091
461	23566	7039
462	23616	6988
463	23663	6935
464	23721	6886
465	23769	6835
466	23818	6783
467	23868	6732
468	23919	6681
469	23974	6631
470	24024	6579
471	24073	6528
472	24123	6477
473	24172	6425
474	24226	6375
475	24274	6323
476	24323	6272
477	24370	6220
478	24421	6169
479	24471	6117
480	24513	6064
481	24562	6013
482	24601	5959
483	24651	5908
484	24699	5856
485	24749	5805
486	24795	5753
487	24836	5700
488	24885	5648
489	24932	5597
490	24984	5546
491	25032	5495
492	25082	5443
493	25129	5392
494	25177	5340
495	25224	5288
496	25275	5238
497	25324	5187
498	25373	5135
499	25414	5082
500	25463	5031
501	25511	4980
502	25558	4928
503	25605	4877
504	25653	4825
505	25701	4774
506	25751	4723
507	25796	4671
508	25848	4621
509	25897	4570
510	25946	4518
511	25990	4467
512	26038	4415
513	26088	4365
514	26137	4313
515	26178	4261
516	26229	4210
517	26280	4160
518	26326	4108
519	26370	4056
520	26421	4006
521	26470	3955
522	26519	3904
523	26568	3853
524	26614	3802
525	26663	3751
526	26712	3700
527	26760	3649
528	26807	3598
529	26857	3547
530	26905	3496
531	26958	3445
532	26997	3393
533	27046	3342
534	27091	3291
535	27138	3240
536	27180	3188
537	27229	3138
538	27277	3087
539	27326	3036
540	27377	2985
541	27428	2935
542	27478	2884
543	27533	2834
544	27585	2783
545	27642	2733
546	27695	2683
547	27750	2633
548	27802	2582
549	27858	2532
550	27909	2481
551	27957	2431
552	28005	2380
553	28050	2329
554	28095	2277
555	28142	2227
556	28192	2176
557	28246	2126
558	28297	2075
559	28345	2024
560	28392	1973
561	28443	1923
562	28493	1872
563	28543	1821
564	28591	1771
565	28639	1720
566	28688	1669
567	28737	1619
568	28788	1568
569	28832	1517
570	28881	1466
571	28928	1416
572	28975	1365
573	29019	1314
574	29068	1263
575	29118	1213
576	29168	1162
577	29217	1112
578	29267	1061
579	29315	1010
580	29363	960
581	29410	909
582	29458	858
583	29508	808
584	29556	757
585	29603	707
586	29652	656
587	29698	606
588	29750	555
589	29796	505
590	29846	454
591	29894	403
592	29946	353
593	30001	303
594	30049	252
595	30098	202
596	30147	151
597	30195	100
598	30235	50
599	30284	0
