iter	RMSE
0	124.5546905
1	121.2835133
2	118.1232517
3	115.0564543
4	112.0562569
5	109.144835
6	106.3247096
7	103.5895723
8	100.9386864
9	98.35593768
10	95.8433981
11	93.41161184
12	91.05824896
13	88.78797216
14	86.55480018
15	84.4033547
16	82.31308428
17	80.29991012
18	78.32824756
19	76.42445084
20	74.56517203
21	72.76510673
22	71.02625041
23	69.34107422
24	67.69910281
25	66.11284071
26	64.57133995
27	63.08549512
28	61.64215731
29	60.25832747
30	58.90637076
31	57.59643075
32	56.32001808
33	55.08534467
34	53.88163037
35	52.73364038
36	51.61999164
37	50.53916872
38	49.49868679
39	48.49196967
40	47.51863038
41	46.5674934
42	45.65269877
43	44.77054089
44	43.91854902
45	43.1018588
46	42.31091506
47	41.53686441
48	40.79050659
49	40.07380005
50	39.38256269
51	38.72625712
52	38.08438348
53	37.45955881
54	36.85763372
55	36.29084684
56	35.72097724
57	35.18601536
58	34.67851956
59	34.18356502
60	33.70581126
61	33.24462061
62	32.80893421
63	32.38668753
64	31.96890211
65	31.57849233
66	31.19123316
67	30.82275916
68	30.47645421
69	30.13477015
70	29.80885489
71	29.4964732
72	29.19380613
73	28.90411449
74	28.62610482
75	28.35610002
76	28.10777883
77	27.8654869
78	27.63201486
79	27.40938455
80	27.18983617
81	26.9809915
82	26.78432889
83	26.5839892
84	26.39885757
85	26.22564123
86	26.05723855
87	25.89003995
88	25.73745061
89	25.58480496
90	25.44588197
91	25.3036494
92	25.17586149
93	25.04516149
94	24.92688423
95	24.8141573
96	24.70262493
97	24.59843125
98	24.49309115
99	24.3906328
100	24.28870238
101	24.20286087
102	24.11231979
103	24.03076989
104	23.95251931
105	23.86876699
106	23.79843702
107	23.72596667
108	23.6481372
109	23.58306894
110	23.51873652
111	23.45795485
112	23.39454528
113	23.33621356
114	23.28075042
115	23.22646152
116	23.1758339
117	23.11578856
118	23.0694921
119	23.02430264
120	22.97540318
121	22.92919396
122	22.88655039
123	22.84549058
124	22.80298774
125	22.76386857
126	22.7254342
127	22.68461465
128	22.64749922
129	22.61327358
130	22.5781187
131	22.54060526
132	22.50764136
133	22.47770343
134	22.4465748
135	22.4178084
136	22.38652354
137	22.36059456
138	22.33452408
139	22.30446909
140	22.28073824
141	22.25376759
142	22.2303228
143	22.20954077
144	22.1818082
145	22.1622987
146	22.14484639
147	22.11776126
148	22.09222743
149	22.07289055
150	22.05128605
151	22.02837691
152	22.01202205
153	21.98992763
154	21.97394983
155	21.95279706
156	21.9375369
157	21.92048471
158	21.906103
159	21.89152578
160	21.87202168
161	21.8556203
162	21.84394058
163	21.83201839
164	21.81926005
165	21.8093741
166	21.79260032
167	21.78192701
168	21.77072665
169	21.75955834
170	21.75006051
171	21.73587994
172	21.7241325
173	21.71100901
174	21.69771539
175	21.6885738
176	21.68012548
177	21.66701806
178	21.65542656
179	21.64351345
180	21.63242946
181	21.62382691
182	21.61153546
183	21.60053904
184	21.58888821
185	21.57786191
186	21.56661454
187	21.5562769
188	21.54811232
189	21.54091732
190	21.53038212
191	21.51922163
192	21.51194862
193	21.50248347
194	21.49355203
195	21.48418064
196	21.47465779
197	21.46641669
198	21.45831389
199	21.45018398
200	21.4414052
201	21.43288256
202	21.42651552
203	21.41888124
204	21.41056733
205	21.40087819
206	21.39412187
207	21.38649711
208	21.3799451
209	21.37367287
210	21.36850997
211	21.36294757
212	21.35426145
213	21.34824408
214	21.34132526
215	21.33204584
216	21.32494825
217	21.3172156
218	21.30986584
219	21.30321958
220	21.2962368
221	21.28987737
222	21.28306405
223	21.27731863
224	21.27177896
225	21.26599629
226	21.25963355
227	21.25531735
228	21.2498478
229	21.24340048
230	21.23643056
231	21.23102446
232	21.22387877
233	21.21558117
234	21.21132561
235	21.20612994
236	21.20035823
237	21.19508371
238	21.1886392
239	21.18349031
240	21.17793738
241	21.17290791
242	21.16534796
243	21.15916346
244	21.15379293
245	21.14884425
246	21.14445523
247	21.13961043
248	21.13557774
249	21.13149602
250	21.12604997
251	21.12060221
252	21.11528896
253	21.10925019
254	21.10322139
255	21.09879788
256	21.09364467
257	21.0887979
258	21.08290798
259	21.07781566
260	21.07260118
261	21.06835728
262	21.06333518
263	21.05645898
264	21.05190901
265	21.04752976
266	21.0439663
267	21.03850841
268	21.03407498
269	21.02994927
270	21.02635389
271	21.02136646
272	21.01528626
273	21.00933444
274	21.00405718
275	20.99897674
276	20.99360622
277	20.98806461
278	20.98477351
279	20.97969532
280	20.97631675
281	20.97185087
282	20.96838113
283	20.96319468
284	20.95892054
285	20.95093951
286	20.94788398
287	20.94538099
288	20.9403752
289	20.93661823
290	20.9322933
291	20.92764614
292	20.9236707
293	20.91915924
294	20.91470384
295	20.91044139
296	20.90591367
297	20.90223557
298	20.89597096
299	20.8918766
300	20.88835618
301	20.88503839
302	20.88069077
303	20.87402936
304	20.87074605
305	20.86661655
306	20.86198528
307	20.85785335
308	20.85471663
309	20.84949013
310	20.84448857
311	20.84108255
312	20.83820233
313	20.83510359
314	20.83033584
315	20.82704312
316	20.82375867
317	20.81987659
318	20.816235
319	20.81162238
320	20.80862807
321	20.80468501
322	20.80176835
323	20.79718033
324	20.79391082
325	20.79042089
326	20.78690053
327	20.78234505
328	20.77721797
329	20.77492629
330	20.77139983
331	20.76890687
332	20.76383882
333	20.76048615
334	20.75775476
335	20.75348012
336	20.74911784
337	20.74505037
338	20.74072326
339	20.73480627
340	20.73035341
341	20.72465206
342	20.7198057
343	20.71571341
344	20.7114623
345	20.70813899
346	20.70466995
347	20.70036916
348	20.69680577
349	20.69373126
350	20.69045148
351	20.68627827
352	20.68359532
353	20.67873851
354	20.67393577
355	20.66928605
356	20.66530893
357	20.65989781
358	20.65777065
359	20.65304823
360	20.64909658
361	20.64483834
362	20.64050763
363	20.63732908
364	20.63381741
365	20.63086914
366	20.62749622
367	20.62472668
368	20.61939335
369	20.61529699
370	20.61226552
371	20.60930071
372	20.60577445
373	20.60279177
374	20.59994065
375	20.59592601
376	20.59248643
377	20.58890199
378	20.58567994
379	20.58170128
380	20.57633
381	20.57442593
382	20.57043183
383	20.56657639
384	20.5627573
385	20.55901923
386	20.55610892
387	20.55200182
388	20.54889371
389	20.54506618
